ri,smiles,group,stratify_group
2575.0,CCCCB1O[C@@H]2c3ccc(OC)c(OC)c3-c3ccccc3[C@]2(C)O1,bicyclic,bicyclic
754.0,CC(C)CCN(C)C,NH0,NH0
1955.5,CCC1(c2ccccc2)C(O)=NC(=O)N=C1O,Al_OH,Al_OH
2917.0,CC(=O)OC[C@H]1O[C@@H](n2cc(C)c(O)nc2=O)CC1O[Si]1(C(C)(C)C)CCCC1,Ar_N,Ar_N
1594.3333333333333,C#CCOC(=O)c1ccc([N+](=O)[O-])cc1,C_O,C_O
2928.0,CC(=O)OC1C[C@H](n2cc(C)c(O)nc2=O)O[C@@H]1CO[Si]1(C(C)(C)C)CCCC1,Ar_N,Ar_N
724.0,CSC(C)(C)C,sulfide,sulfide
1386.0,C[Si](C)(C)OC(=O)C(O[Si](C)(C)C)C(=O)O[Si](C)(C)C,C_O,C_O
2077.0,C=CC(=O)OCCCCCCCCCCCCCCCC,unbrch_alkane,unbrch_alkane
1006.0,CCCCCCC(C)Cl,unbrch_alkane,unbrch_alkane
2148.0,ClC1=C(Cl)[C@@]2(Cl)C3C([C@@H]4C[C@H]3C3OC34)[C@@]1(Cl)C2(Cl)Cl,bicyclic,bicyclic
1062.1666666666667,C=C(C)C(=O)OCCCCC,unbrch_alkane,unbrch_alkane
1985.0,COc1cccc(N=CN2CCCC2)c1,NH0,NH0
1668.0,Cc1ccc2c(C)cc(C)c(C)c2c1,aryl_methyl,aryl_methyl
859.4437728937729,CCCC(CC)CCC,unknown,unknown
2039.5,C=C[C@]1(C)CC[C@H]2[C@]3(C)CCCC(C)(C)[C@H]3CC[C@]2(C)O1,bicyclic,bicyclic
1770.1,CC(=O)/C=C1/CCC2C(C)(C)C3C[C@]12CC[C@H]3C,allylic_oxid,allylic_oxid
1170.0,CCCCCCC(C)NCCC,unbrch_alkane,unbrch_alkane
910.5,CC(Cl)OC(=O)CCl,alkyl_halide,alkyl_halide
819.8285714285714,CC(C)C1CCCC1,unknown,unknown
3122.666666666667,CC(C)C(C)CCC(C)C1CCC2C3CC=C4C[C@H](O)CCC4(C)C3CCC12C,bicyclic,bicyclic
1438.0,CCCCCCCCCC(CC)CCC,unbrch_alkane,unbrch_alkane
1411.0,Nc1ccc(I)cc1,ArN,ArN
1406.4,C1CCCCCCCCCCCC1,unknown,unknown
876.6666666666666,COC1CCCCO1,ether,ether
844.0,CCC(C)CC=C(C)C,allylic_oxid,allylic_oxid
1784.6444444444444,Clc1ccc(-c2ccccc2Cl)c(Cl)c1,halogen,halogen
1259.0,CC(C)SCCSC(C)C,sulfide,sulfide
2321.0,CN(C)C(=Nc1ccc(Br)cc1)c1ccc(Cl)cc1,NH0,NH0
905.0,CCC1=CCC=CC1,allylic_oxid,allylic_oxid
1165.0,C[C@@H]1C[C@H](O[Si](C)(C)C)C(=O)O1,C_O,C_O
2159.55,Cc1c(Cl)ccc(Cc2c(Cl)cccc2Cl)c1Cl,halogen,halogen
2234.0,COc1ccc(C(=Nc2cccc(Cl)c2)N(C)C)cc1,NH0,NH0
2357.8,CCCCCCCCOC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,unbrch_alkane,unbrch_alkane
3209.5,CC(CCC(=O)O[Si](C)(C)C)C1CCC2C3CCC4CC(O[Si](C)(C)C)CCC4(C)C3CC(O[Si](C)(C)C)C12C,bicyclic,bicyclic
1412.2,Cc1cc(C)c2ccccc2c1,aryl_methyl,aryl_methyl
582.7,C=C[C@@H]1C[C@H]1C,allylic_oxid,allylic_oxid
1576.0,CCOP(=O)(OCC)OCCSCC,phos_acid,rare
1606.2333333333331,C/C=C\CCCCCCCCCCCCC,unbrch_alkane,unbrch_alkane
675.5666666666667,C=CC/C=C\CC,allylic_oxid,allylic_oxid
984.5704761904764,CCCCCOC(=O)CC,unbrch_alkane,unbrch_alkane
836.2777777777778,CC1OCCS1,ether,ether
835.0,C=CCSC(C)=O,C_O,C_O
1985.0,CCC(C)CCCCCCCCCCCCC(=O)OC,unbrch_alkane,unbrch_alkane
869.65,CC(C)[C@H]1CCC[C@@H]1C,unknown,unknown
1276.0,CC(=O)O[C@@H]1C[C@H](C)CC[C@@H]1C(C)C,C_O,C_O
1801.006666666667,CCC(C)CCCC(C)CCCC(C)CCCC(C)C,unknown,unknown
1639.0,CC(=O)O[C@@H]1CCC2C[C@@H](O)CCC2C1,Al_OH,Al_OH
1385.425,CCC/C=C/CCCCCCCCC,unbrch_alkane,unbrch_alkane
739.7,CCC[C@H]1O[C@@H]1C,epoxide,epoxide
1040.2877662337662,CCCc1ccc(C)cc1,aryl_methyl,aryl_methyl
3531.0,CC(=O)O[C@@H]1CC[C@@]2(C)C3=CC[C@@]4(C)C([C@H](C)CC(C)(C)CC(C)C)CC[C@]4(C)C3CCC2C1(C)C,bicyclic,bicyclic
2290.0,CCCCB1O[C@H]2CCc3cc4ccccc4cc3[C@@H]2O1,bicyclic,bicyclic
859.5,CCCOC(C)OCCC,ether,ether
1602.0,CCCC(Cl)CCCCCCC(=O)OC,unbrch_alkane,unbrch_alkane
2840.0,CON=C1C=C2CCC3C(CC[C@]4(C)C3CC[C@@]4(O)C(=O)OC)[C@]2(C)CC1,bicyclic,bicyclic
1569.0,CCCCCCCCCC(=O)OCCCC,unbrch_alkane,unbrch_alkane
1566.4333333333334,CCCCCCC/C=C\CCCCCCC,unbrch_alkane,unbrch_alkane
2046.0,COc1ccc(N=CN2CCOCC2)cc1,NH0,NH0
1544.0,CCc1ccc2ccccc2c1CC,aryl_methyl,aryl_methyl
691.6079166666666,CCC=CC=O,allylic_oxid,allylic_oxid
2213.25,CCCCCCCCCCCCCCOC(=O)CCCCl,unbrch_alkane,unbrch_alkane
816.0,CC1COCOCO1,ether,ether
1111.0,CCCSCCS,SH,SH
1048.185,CCCCCC1=CCCC1,allylic_oxid,allylic_oxid
1155.0055555555557,CCCCCCC(C)CCCC,unbrch_alkane,unbrch_alkane
3030.0,CC(C)C(O[Si](C)(C)C)[C@@H](C)C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C,bicyclic,bicyclic
1478.6,CCCCC(Cl)CCCCOC(C)=O,unbrch_alkane,unbrch_alkane
1718.0,COC(=O)CCCCCCCCCC(C)Cl,unbrch_alkane,unbrch_alkane
1836.0,CCCCCCCCCC(=O)OCC(Cl)CCl,unbrch_alkane,unbrch_alkane
1124.0,CCc1cc(C)cnc1C,aryl_methyl,aryl_methyl
1623.3333333333333,CCCCCOC(=O)c1cccc(Cl)c1,unbrch_alkane,unbrch_alkane
890.6666666666667,CCCC(C)(C)CC(C)C,unknown,unknown
576.3333333333334,CC(C)CN,NH2,NH2
821.9130952380953,CCCC(C)CC(C)C,unknown,unknown
827.0,Cc1ccncn1,Ar_N,Ar_N
1481.025,CCCCCCCCCCCC(C)=O,unbrch_alkane,unbrch_alkane
2637.0,CCN(CC)CCN=C(O)c1cc(Cl)c(N)cc1OC,NH0,NH0
1049.0,SCCCCS,SH,SH
1973.75,Clc1ccccc1-c1ccc(Cl)c(Cl)c1Cl,halogen,halogen
699.0,CCCC(C)Cl,alkyl_halide,alkyl_halide
3354.0,CC(=O)O[C@H]1CC[C@@]2(C)C3=CCC4(C)C5CC[C@H](C(C)C)C5(C)CC[C@@]4(C)C3CC[C@@H]2C1(C)C,bicyclic,bicyclic
885.8572916666667,CCCSCCC,sulfide,sulfide
965.0333333333334,CCC(C)C(C)(CC)CC,unknown,unknown
1146.0,CCCCCCCNCCC,unbrch_alkane,unbrch_alkane
691.075,CCCCN(C)C,NH0,NH0
2085.3,CCCCCCCCCCCCCCOC(=O)C(Cl)Cl,unbrch_alkane,unbrch_alkane
3066.0,CON=C1C=C2CCC3C(CCC4(C)C(C(CO[Si](C)(C)C)=NOC)CCC34)C2(C)CC1,bicyclic,bicyclic
1192.0,CCCCCCCC(C)C(=O)OC,unbrch_alkane,unbrch_alkane
1627.5,CCc1cccc(-c2ccccc2)c1,benzene,benzene
1066.65,C=C(C)c1ccc(C)cc1,allylic_oxid,allylic_oxid
1090.64,CN(C)c1ccccc1,NH0,NH0
1453.5679166666666,CCCCCOC(=O)c1ccccc1,unbrch_alkane,unbrch_alkane
2355.0,CCCCCC/C=C\CCCCCCCC(=O)OCC1COB(C)O1,unbrch_alkane,unbrch_alkane
1204.0,C1=C\CC2CC2CCCCC/1,allylic_oxid,allylic_oxid
924.975,CCCC(CCC)CCC,unknown,unknown
1384.0,CCC12CC3(CC)C[C@H](C1)C[C@](C)(C2)C3,unknown,unknown
1306.6666666666667,C=CCCCOC(=O)c1c(F)c(F)c(F)c(F)c1F,halogen,halogen
950.0,C1CCC2(C1)CCO2,ether,ether
3129.5,CC1CCC2C(C)C3C(CC4C5CC=C6C[C@H](O)CCC6(C)C5CCC43C)N2C1,bicyclic,bicyclic
1975.0,CC(=O)O[C@@H]1c2cccc3cccc(c23)[C@H]1OC(C)=O,C_O,C_O
389.8685185185185,C=CCC,allylic_oxid,allylic_oxid
1193.0,C=CCSCSCC=C,sulfide,sulfide
948.0,CCCC(C)(CC)C(=O)OC,C_O,C_O
2713.0,COC(=O)C(C)Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1,ether,ether
2224.0,COc1ccc(N=C(c2ccc(Cl)cc2)N(C)C)cc1,NH0,NH0
976.4,CC/C=C\C/C=C\CCC,allylic_oxid,allylic_oxid
889.0,CCC(C)SC(C)C,sulfide,sulfide
1460.85,CCN(C)C(=O)c1ccccc1,C_O,C_O
2765.0,CCCCCCCCCCCCCCC(C)CCCC(C)CCCCCCCC,unbrch_alkane,unbrch_alkane
1864.0,CCCCCCCC(CC)C(CCCC)CCCCC,unbrch_alkane,unbrch_alkane
2069.9880952380954,CCCCCCCCCCCCCCCCCCO,unbrch_alkane,unbrch_alkane
1547.0,CCC(C)(C)c1ccc(O)c([N+](=O)[O-])c1,Ar_OH,Ar_OH
1270.05,CC(=O)O[C@H]1CC2CCC1(C)C2(C)C,bicyclic,bicyclic
1617.0,CCCSC(=S)N(C(C)C)C(C)C,C_S,C_S
956.9,C=C[C@@H]1C[C@@H]1C[C@@H]1C[C@H]1C,allylic_oxid,allylic_oxid
680.0,C=C[Si](C)(Cl)Cl,halogen,halogen
825.0,C#CCCCC#CC,unbrch_alkane,unbrch_alkane
3370.0,CC1C2C(CC3C4CC[C@@H]5C[C@H](O)CCC5(C)C4CCC32C)OC12CC[C@@H](C)CN2,bicyclic,bicyclic
1370.0,COC(=O)C(OC(=O)C(F)(F)F)c1ccc(OC(=O)C(F)(F)F)c(OC(=O)C(F)(F)F)c1,alkyl_halide,alkyl_halide
1643.7,C#CC1(O)CCCCCCCCCCC1,Al_OH,Al_OH
812.0,CCC(CC)OC(C)=O,C_O,C_O
853.0,CC(C)CCNC(C)C,NH1,NH1
1146.0,CCCSSSC,unknown,unknown
1407.8333333333333,CCCCCCOC(=O)CCCCl,unbrch_alkane,unbrch_alkane
937.9333333333334,CCC(CC)C(C)(C)CC,unknown,unknown
917.7,CC(=O)OC/C(C)=C\Cl,C_O,C_O
1038.0,CCCCCCN(CC)CC,unbrch_alkane,unbrch_alkane
2557.5,C[C@@]12CC[C@@H](O[Si](C)(C)C)C[C@@H]1CC[C@H]1[C@H]2CC[C@]2(C)[C@@H]1CC[C@H]2O[Si](C)(C)C,bicyclic,bicyclic
1537.5,COC(=O)[C@]12C[C@@H]3C[C@H](C1)C(C)[C@@H](C3)C2,C_O,C_O
1146.0,CCCCCCCO[Si](C)(OC)OC,unbrch_alkane,unbrch_alkane
1718.0,CCC(Cl)CCCCCCCCC(=O)OC,unbrch_alkane,unbrch_alkane
2337.5,CCC(Cl)CCCCCCCCCCCCCCC(=O)OC,unbrch_alkane,unbrch_alkane
1416.0,CN(C)C(=S)SC(C)(C)C,C_S,C_S
942.0,OC12CCC(CC1)C2,bicyclic,bicyclic
1615.8,CCCCCCCCCCC(Cl)OC(C)=O,unbrch_alkane,unbrch_alkane
1073.19,C=Cc1ccc(CC)cc1,aryl_methyl,aryl_methyl
1797.0,CCC(C)c1cc([N+](=O)[O-])ccc1O,Ar_OH,Ar_OH
2905.0,CC(=O)OC1C(O[Si](C)(C)C(C)(C)C)[C@H](n2ccc(O)nc2=O)O[C@@H]1CO[Si](C)(C)C(C)(C)C,Ar_N,Ar_N
2287.0,CCCCCCCCCCCCCCCCOC(=O)C(Cl)Cl,unbrch_alkane,unbrch_alkane
2210.0,CCCCCCCCC(Cl)CCCCCCCC(=O)OC,unbrch_alkane,unbrch_alkane
1342.857142857143,CC(=O)OCCCCCCCCl,unbrch_alkane,unbrch_alkane
934.69,CCCCCCBr,unbrch_alkane,unbrch_alkane
1344.0,CCc1cc(C)c(C)c(C)c1C,aryl_methyl,aryl_methyl
2032.0,CN(C)C(=Nc1cccc(Cl)c1)c1ccccc1,NH0,NH0
1216.0,CCCCCC(C)CSCC,unbrch_alkane,unbrch_alkane
1411.6666666666667,C#CCOC(=O)c1cccc(Cl)c1,C_O,C_O
979.3,CCCCN=C=S,C_S,C_S
914.2166666666668,C/C=C1/CC2C=CC1C2,allylic_oxid,allylic_oxid
2021.0,C1CCCCC(C2CCCCCCCC2)CCC1,unknown,unknown
1648.0,CCN(CC)CCOC(=O)c1cccnc1,NH0,NH0
2475.0,CCCCCCCCCCOC(=O)CC(=O)OCCCCCCCCCC,unbrch_alkane,unbrch_alkane
1813.0,C[Si](C)(C)OCC(O[Si](C)(C)C)C1OC(=O)CC1O[Si](C)(C)C,C_O,C_O
1700.0,COP(=S)(OC)Oc1ccc(C#N)cc1,NH0,NH0
1892.0,C[Si](C)(C)OC[C@@H]1O[C@@H](O[Si](C)(C)C)[C@@H](O[Si](C)(C)C)[C@H](O[Si](C)(C)C)[C@@H]1O[Si](C)(C)C,ether,ether
2151.0,COc1ccc(C=Nc2cccc(C)c2)cc1,benzene,benzene
1123.5,Cc1ccc(C(C)C)c(C)c1,aryl_methyl,aryl_methyl
3356.0,CC(=O)O[C@@H]1CCC2C(=CCC3[C@]2(C)CCC2(C)[C@H]4CC(C)(C)CC[C@@]4(C)CC[C@@]32C)C1(C)C,bicyclic,bicyclic
1658.0,C[Si](C)(C)OC(=O)[C@@H](O[Si](C)(C)C)[C@H](O[Si](C)(C)C)C(=O)O[Si](C)(C)C,C_O,C_O
998.5,Nc1ccc(F)cc1,ArN,ArN
2119.875,Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)c1,halogen,halogen
1419.0,CCCCC/C=C\CCCCCO,unbrch_alkane,unbrch_alkane
1934.0,CCCCCCCC(CCC)C(CCC)CCCCCCC,unbrch_alkane,unbrch_alkane
2927.0,CS(=O)(=O)c1ccc(-c2cn3ccccc3n2)cc1,Ar_N,Ar_N
1706.25,CCN1C(=O)N(CC)C(=O)C(CC)(CCC(C)C)C1=O,amide,amide
2144.0,O=c1c2c(nc3n1CCCC3)CCCCC2,Ar_N,Ar_N
1320.5,C1=CCC(C2CC=CCC2)CC1,allylic_oxid,allylic_oxid
885.0,Cc1csc(C)n1,aryl_methyl,aryl_methyl
1110.0,CCc1ccc(C)nc1C,aryl_methyl,aryl_methyl
1770.0,CCCCN(C)C(=O)N(C(=O)C(F)(F)C(F)(F)C(F)(F)F)c1ccc(Cl)c(Cl)c1,halogen,halogen
